"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i24000000URctAAG","2017-05-23","Tatiana Abreu","AP-015719; VINV-01457","PIN001859","0012400000WmBYWAA3","Channel Partner / Vendor","005","a3h24000000LTQyAAO","0.0","1292.34","a2l24000000U9vrAAC","2017-05-29T12:29:12.000Z","AP-015719; VINV-01457","22114"
"a3i24000000URctAAG","2017-05-23","Tatiana Abreu","AP-015719; VINV-01457","PIN001859","0012400000WmBYWAA3","Channel Partner / Vendor","005","a3h24000000LTQzAAO","1050.68","0.0","a2l24000000U9y3AAC","2017-05-29T12:29:12.000Z","","311"
"a3i24000000URctAAG","2017-05-23","Tatiana Abreu","AP-015719; VINV-01457","PIN001859","0012400000WmBYWAA3","Channel Partner / Vendor","005","a3h24000000LTR0AAO","241.66","0.0","a2l24000000U9wOAAS","2017-05-29T12:29:12.000Z","CCONT23","2432113"
"a3i24000000URd8AAG","2017-05-29","Tatiana Abreu","AP-017444; VINV-01593","PIN001860","0012400000WmBYWAA3","Channel Partner / Vendor","005","a3h24000000LTREAA4","0.0","2385.13","a2l24000000U9vrAAC","2017-05-29T12:35:57.000Z","AP-017444; VINV-01593","22114"
"a3i24000000URd8AAG","2017-05-29","Tatiana Abreu","AP-017444; VINV-01593","PIN001860","0012400000WmBYWAA3","Channel Partner / Vendor","005","a3h24000000LTRFAA4","1939.13","0.0","a2l24000000U9y3AAC","2017-05-29T12:35:57.000Z","","311"
"a3i24000000URd8AAG","2017-05-29","Tatiana Abreu","AP-017444; VINV-01593","PIN001860","0012400000WmBYWAA3","Channel Partner / Vendor","005","a3h24000000LTRGAA4","446.0","0.0","a2l24000000U9wOAAS","2017-05-29T12:35:57.000Z","CCONT23","2432113"
"a3i24000000URdXAAW","2017-05-26","Tatiana Abreu","AP-016831; VINV-01591","PIN001861","0012400000Z7ktTAAR","Channel Partner / Vendor","005","a3h24000000LTReAAO","0.0","1907.73","a2l24000000U9vrAAC","2017-05-29T13:49:10.000Z","AP-016831; VINV-01591","22114"
"a3i24000000URdXAAW","2017-05-26","Tatiana Abreu","AP-016831; VINV-01591","PIN001861","0012400000Z7ktTAAR","Channel Partner / Vendor","005","a3h24000000LTRfAAO","1551.0","0.0","a2l24000000U9y3AAC","2017-05-29T13:49:10.000Z","","311"
"a3i24000000URdXAAW","2017-05-26","Tatiana Abreu","AP-016831; VINV-01591","PIN001861","0012400000Z7ktTAAR","Channel Partner / Vendor","005","a3h24000000LTRgAAO","356.73","0.0","a2l24000000U9wOAAS","2017-05-29T13:49:10.000Z","CCONT23","2432113"
"a3i24000000URefAAG","2017-05-18","Tatiana Abreu","AP-010436; VINV-01527","PIN001862","0012400000esIpzAAE","Channel Partner / Vendor","005","a3h24000000LTSoAAO","0.0","1045.5","a2l24000000U9vrAAC","2017-05-29T15:09:40.000Z","AP-010436; VINV-01527","22114"
"a3i24000000URefAAG","2017-05-18","Tatiana Abreu","AP-010436; VINV-01527","PIN001862","0012400000esIpzAAE","Channel Partner / Vendor","005","a3h24000000LTSpAAO","850.0","0.0","a2l24000000U9y3AAC","2017-05-29T15:09:40.000Z","","311"
"a3i24000000URefAAG","2017-05-18","Tatiana Abreu","AP-010436; VINV-01527","PIN001862","0012400000esIpzAAE","Channel Partner / Vendor","005","a3h24000000LTSqAAO","195.5","0.0","a2l24000000U9wOAAS","2017-05-29T15:09:40.000Z","CCONT23","2432113"
"a3i24000000URfOAAW","2017-05-16","Tatiana Abreu","AP-012761; VINV-01510","PIN001863","001240000104zvIAAQ","Channel Partner / Vendor","005","a3h24000000LTTaAAO","0.0","2521.5","a2l24000000U9vrAAC","2017-05-29T16:18:16.000Z","AP-012761; VINV-01510","22114"
"a3i24000000URfOAAW","2017-05-16","Tatiana Abreu","AP-012761; VINV-01510","PIN001863","001240000104zvIAAQ","Channel Partner / Vendor","005","a3h24000000LTTbAAO","2050.0","0.0","a2l24000000U9y3AAC","2017-05-29T16:18:16.000Z","","311"
"a3i24000000URfOAAW","2017-05-16","Tatiana Abreu","AP-012761; VINV-01510","PIN001863","001240000104zvIAAQ","Channel Partner / Vendor","005","a3h24000000LTTcAAO","471.5","0.0","a2l24000000U9wOAAS","2017-05-29T16:18:16.000Z","CCONT23","2432113"
"a3i24000000URh0AAG","2017-05-17","Tatiana Abreu","AP-015707; VINV-01517","PIN001864","0012400000dUykgAAC","Channel Partner / Vendor","005","a3h24000000LTVHAA4","0.0","12300.0","a2l24000000U9vrAAC","2017-05-30T09:28:39.000Z","AP-015707; VINV-01517","22114"
"a3i24000000URh0AAG","2017-05-17","Tatiana Abreu","AP-015707; VINV-01517","PIN001864","0012400000dUykgAAC","Channel Partner / Vendor","005","a3h24000000LTVIAA4","10000.0","0.0","a2l24000000U9y3AAC","2017-05-30T09:28:39.000Z","","311"
"a3i24000000URh0AAG","2017-05-17","Tatiana Abreu","AP-015707; VINV-01517","PIN001864","0012400000dUykgAAC","Channel Partner / Vendor","005","a3h24000000LTVJAA4","2300.0","0.0","a2l24000000U9wOAAS","2017-05-30T09:28:39.000Z","CCONT23","2432113"
"a3i24000000URhKAAW","2017-05-03","Tatiana Abreu","AP-015802; VINV-01437","PIN001865","00124000015ZJomAAG","Channel Partner / Vendor","005","a3h24000000LTVgAAO","0.0","11513.12","a2l24000000U9vrAAC","2017-05-30T09:43:04.000Z","AP-015802; VINV-01437","22114"
"a3i24000000URhKAAW","2017-05-03","Tatiana Abreu","AP-015802; VINV-01437","PIN001865","00124000015ZJomAAG","Channel Partner / Vendor","005","a3h24000000LTVhAAO","9360.26","0.0","a2l24000000U9y3AAC","2017-05-30T09:43:04.000Z","","311"
"a3i24000000URhKAAW","2017-05-03","Tatiana Abreu","AP-015802; VINV-01437","PIN001865","00124000015ZJomAAG","Channel Partner / Vendor","005","a3h24000000LTViAAO","2152.86","0.0","a2l24000000U9wOAAS","2017-05-30T09:43:04.000Z","CCONT23","2432113"
