"c2g__Transaction__r.Id","c2g__Transaction__r.c2g__TransactionDate__c","c2g__Transaction__r.CreatedBy.Name","c2g__Transaction__r.c2g__DocumentDescription__c","c2g__Transaction__r.c2g__DocumentNumber__c","c2g__Transaction__r.c2g__Account__c","c2g__Transaction__r.c2g__Account__r.Type","c2g__Transaction__r.c2g__Period__r.c2g__PeriodNumber__c","Id","TLDebit__c","TLCredit__c","c2g__GeneralLedgerAccount__c","CreatedDate","c2g__LineDescription__c","c2g__GeneralLedgerAccount__r.c2g__ReportingCode__c"
"a3i24000000DKy6AAG","2017-07-17","Tatiana Abreu","Invoice Number:PIN002411","PCR000055","0012400001GG5G9AAL","Channel Partner / Vendor","007","a3h240000005B2AAAU","3075.0","0.0","a2l24000000U9vrAAC","2017-07-18T14:23:13.000Z","Invoice Number:PIN002411","22114"
"a3i24000000DKy6AAG","2017-07-17","Tatiana Abreu","Invoice Number:PIN002411","PCR000055","0012400001GG5G9AAL","Channel Partner / Vendor","007","a3h240000005B2BAAU","0.0","2500.0","a2l24000000U9y3AAC","2017-07-18T14:23:13.000Z","","311"
"a3i24000000DKy6AAG","2017-07-17","Tatiana Abreu","Invoice Number:PIN002411","PCR000055","0012400001GG5G9AAL","Channel Partner / Vendor","007","a3h240000005B2CAAU","0.0","575.0","a2l24000000U9wOAAS","2017-07-18T14:23:13.000Z","CCONT23","2432113"
"a3i24000000DKzEAAW","2017-07-18","Tatiana Abreu","Invoice Number:PIN002421","PCR000057","0012400001BbJd0AAF","Channel Partner / Vendor","007","a3h240000005B3WAAU","9188.1","0.0","a2l24000000U9vrAAC","2017-07-18T16:49:04.000Z","Invoice Number:PIN002421","22114"
"a3i24000000DKzEAAW","2017-07-18","Tatiana Abreu","Invoice Number:PIN002421","PCR000057","0012400001BbJd0AAF","Channel Partner / Vendor","007","a3h240000005B3XAAU","0.0","7470.0","a2l24000000U9y3AAC","2017-07-18T16:49:04.000Z","","311"
"a3i24000000DKzEAAW","2017-07-18","Tatiana Abreu","Invoice Number:PIN002421","PCR000057","0012400001BbJd0AAF","Channel Partner / Vendor","007","a3h240000005B3YAAU","0.0","1718.1","a2l24000000U9wOAAS","2017-07-18T16:49:04.000Z","CCONT23","2432113"
"a3i24000000DKzJAAW","2017-07-18","Tatiana Abreu","Invoice Number:PIN002422","PCR000058","0012400001BbJd0AAF","Channel Partner / Vendor","007","a3h240000005B3bAAE","9191.18","0.0","a2l24000000U9vrAAC","2017-07-18T16:49:38.000Z","Invoice Number:PIN002422","22114"
"a3i24000000DKzJAAW","2017-07-18","Tatiana Abreu","Invoice Number:PIN002422","PCR000058","0012400001BbJd0AAF","Channel Partner / Vendor","007","a3h240000005B3cAAE","0.0","7472.5","a2l24000000U9y3AAC","2017-07-18T16:49:38.000Z","","311"
"a3i24000000DKzJAAW","2017-07-18","Tatiana Abreu","Invoice Number:PIN002422","PCR000058","0012400001BbJd0AAF","Channel Partner / Vendor","007","a3h240000005B3dAAE","0.0","1718.68","a2l24000000U9wOAAS","2017-07-18T16:49:38.000Z","CCONT23","2432113"
"a3i24000000DPgkAAG","2017-08-02","Célia Pedro","EQUIPAMENTO COPA","PCR000059","0012400001HZlhYAAT","Service Provider","008","a3h240000005IcpAAE","154.92","0.0","a2l24000000U9voAAC","2017-08-02T13:44:00.000Z","EQUIPAMENTO COPA","22111"
"a3i24000000DPgkAAG","2017-08-02","Célia Pedro","EQUIPAMENTO COPA","PCR000059","0012400001HZlhYAAT","Service Provider","008","a3h240000005IcqAAE","0.0","154.92","a2l24000000UA1GAAW","2017-08-02T13:44:00.000Z","","6267"
"a3i24000000DPgkAAG","2017-08-02","Célia Pedro","EQUIPAMENTO COPA","PCR000059","0012400001HZlhYAAT","Service Provider","008","a3h240000005IcrAAE","0.0","0.0","a2l24000000ZHXbAAO","2017-08-02T13:44:00.000Z","OBSCONT00","2432110"
"a3i24000000M5A6AAK","2017-08-31","Célia Pedro","GS/16083 - CI","PCR000072","0012400000Ue6YMAAZ","Channel Partner / Vendor","008","a3h24000000DxUOAA0","0.0","331.86","a2l24000000U9wiAAC","2017-09-29T16:15:25.000Z","VCONT23","2433313"
"a3i24000000M5kmAAC","2017-08-31","Célia Pedro","Invoice Number:PIN003165 - CI","PCR000073","0012400000VkWjPAAV","Channel Partner / Vendor","008","a3h24000000DyW5AAK","3813.0","0.0","a2l24000000U9vrAAC","2017-10-03T10:22:29.000Z","Invoice Number:PIN003165 - CI","22114"
"a3i24000000M5kmAAC","2017-08-31","Célia Pedro","Invoice Number:PIN003165 - CI","PCR000073","0012400000VkWjPAAV","Channel Partner / Vendor","008","a3h24000000DyW6AAK","0.0","3100.0","a2l24000000U9y3AAC","2017-10-03T10:22:29.000Z","","311"
"a3i24000000M5kmAAC","2017-08-31","Célia Pedro","Invoice Number:PIN003165 - CI","PCR000073","0012400000VkWjPAAV","Channel Partner / Vendor","008","a3h24000000DyW7AAK","0.0","713.0","a2l24000000U9wOAAS","2017-10-03T10:22:29.000Z","CCONT23","2432113"
"a3i24000000M5lVAAS","2017-08-31","Célia Pedro","Invoice Number:PIN000416 - CI","PCR000074","0012400000nuyUIAAY","Channel Partner / Vendor","008","a3h24000000DyWuAAK","0.0","2425.74","a2l24000000U9y3AAC","2017-10-03T11:14:54.000Z","","311"
"a3i24000000M5lVAAS","2017-08-31","Célia Pedro","Invoice Number:PIN000416 - CI","PCR000074","0012400000nuyUIAAY","Channel Partner / Vendor","008","a3h24000000DyWvAAK","0.0","557.92","a2l24000000U9wOAAS","2017-10-03T11:14:54.000Z","CCONT23","2432113"
"a3i24000000DKyzAAG","2017-06-06","Tatiana Abreu","Invoice Number:PIN002420","PCR000056","0012400000st2RuAAI","Channel Partner / Vendor","006","a3h240000005B3HAAU","4249.65","0.0","a2l24000000U9vrAAC","2017-07-18T16:34:45.000Z","Invoice Number:PIN002420","22114"
"a3i24000000DKyzAAG","2017-06-06","Tatiana Abreu","Invoice Number:PIN002420","PCR000056","0012400000st2RuAAI","Channel Partner / Vendor","006","a3h240000005B3IAAU","0.0","3455.0","a2l24000000U9y3AAC","2017-07-18T16:34:45.000Z","","311"
"a3i24000000DKyzAAG","2017-06-06","Tatiana Abreu","Invoice Number:PIN002420","PCR000056","0012400000st2RuAAI","Channel Partner / Vendor","006","a3h240000005B3JAAU","0.0","794.65","a2l24000000U9wOAAS","2017-07-18T16:34:45.000Z","CCONT23","2432113"
